자치구,대여소명,기준년월,대여건수,반납건수,대여소명_clean,대여소_ID,주소1,주소2,위도,경도
구로구,2000. 신도림4차 e편한세상 아파트 1109동 앞,202502,711,659,신도림4차 e편한세상 아파트 1109동 앞,ST-1733,서울특별시 구로구 경인로65길 16-15,신도림4차 e편한세상 아파트 1109동 앞,37.512329,126.886833
금천구,1859. 대륭테크노타운 18차,202502,353,350,대륭테크노타운 18차,ST-1734,서울특별시 금천구 가산디지털1로 19,대륭테크노타운 18차,37.467999,126.886841
서초구,2510. JW타워,202502,187,101,JW타워,ST-1735,서울특별시 서초구 남부순환로 2477,JW타워,37.48304,127.021461
종로구,359. 원남동사거리,202502,686,771,원남동사거리,ST-174,서울특별시 종로구 율곡로 169,원남동사거리,37.576061,126.997681
동작구,2071. 대림아파트 후문 상가 옆,202502,322,47,대림아파트 후문 상가 옆,ST-1742,서울특별시 동작구 사당로23길 137,대림아파트 후문 상가 옆,37.488869,126.971909
종로구,361. 동묘앞역 1번출구 뒤,202502,1722,1886,동묘앞역 1번출구 뒤,ST-175,서울특별시 종로구 숭인동 81-39,동묘앞역 1번출구 뒤,37.573242,127.015907
종로구,464. 삼청동 골목,202502,527,410,삼청동 골목,ST-1756,서울특별시 종로구 팔판길 46,삼청동 골목,37.58419,126.981697
중구,443.호암아트홀,202502,102,115,호암아트홀,ST-1769,서울특별시 중구 세종대로7길 57-1 구두수선대207,호암아트홀,37.562111,126.970718
종로구,364. 창신역 1번출구 앞,202502,335,214,창신역 1번출구 앞,ST-178,서울특별시 종로구 지봉로 87,창신역 1번출구 앞,37.579334,127.015083
종로구,368. SK 서린빌딩 앞,202502,736,826,SK 서린빌딩 앞,ST-181,서울특별시 종로구 서린동 93-2,SK 서린빌딩 앞,37.569248,126.980537
중구,370. 시청역(2호선) 9번출구 뒤,202502,1078,978,시청역(2호선) 9번출구 뒤,ST-185,서울특별시 중구 서소문로 지하127,시청역(2호선) 9번출구 뒤,37.563229,126.974838
중구,371. 동대입구역 6번출구 뒤,202502,229,242,동대입구역 6번출구 뒤,ST-186,서울특별시 중구 동호로 지하256,동대입구역 6번출구 뒤,37.558872,127.005539
중구,379. 서울역9번출구,202502,414,490,서울역9번출구,ST-194,서울특별시 중구 세종대로 지하2,서울역9번출구,37.556,126.973358
중구,380. CJ제일제당 앞,202502,665,685,CJ제일제당 앞,ST-195,서울특별시 중구 동호로 330,CJ제일제당 앞,37.563866,127.002747
구로구,2817.천왕이펜하우스5단지 앞,202502,97,73,천왕이펜하우스5단지 앞,ST-1243,서울특별시 구로구 천왕로 10,천왕이펜하우스5단지 앞,37.479431,126.842697
중구,381. 장충체육관,202502,52,20,장충체육관,ST-196,서울특별시 중구 장충동2가 200-99,장충체육관,37.558533,127.006989
중구,382. 약수역 10번출구 앞,202502,123,132,약수역 10번출구 앞,ST-197,서울특별시 중구 신당동 357-1,약수역 10번출구 앞,37.555199,127.010048
마포구,142. 아현역 4번출구 앞,202502,362,371,아현역 4번출구 앞,ST-200,서울특별시 마포구 아현동 329-15,아현역 4번출구 앞,37.557201,126.955666
마포구,145. 공덕역 5번출구,202502,520,903,공덕역 5번출구,ST-203,서울특별시 마포구 공덕동 237-9,공덕역 5번출구,37.54425,126.951637
마포구,147. 마포역 4번출구 뒤,202502,997,1368,마포역 4번출구 뒤,ST-205,서울특별시 마포구 도화동 292-29,마포역 4번출구 뒤,37.539272,126.945915
마포구,148. 용강동 주민센터 앞,202502,492,510,용강동 주민센터 앞,ST-206,서울특별시 마포구 용강동 234-1,용강동 주민센터 앞,37.542347,126.943024
마포구,150. 서강대역 2번출구 앞,202502,463,533,서강대역 2번출구 앞,ST-207,서울특별시 마포구 노고산동 112-13,서강대역 2번출구 앞,37.552956,126.934341
마포구,153. 성산2교 사거리,202502,852,832,성산2교 사거리,ST-210,서울특별시 마포구 성산동 54-17,성산2교 사거리,37.564697,126.912613
